condition,severity,n_images,foreground_iou_mean,foreground_iou_std,foreground_dice_mean,foreground_dice_std,clean_foreground_preserved_ratio_mean,clean_foreground_preserved_ratio_std,best_match_mask_iou_mean_mean,best_match_mask_iou_mean_std,clean_mask_count_mean,clean_mask_count_std,corrupt_mask_count_mean,corrupt_mask_count_std,mask_count_difference_mean,mask_count_difference_std
brightness,1,5,0.643101,0.246108,0.751757,0.208086,0.67004,0.260253,0.322837,0.125452,232.2,97.540556,81.2,39.685766,-151.0,96.077052
brightness,3,5,0.6401,0.263942,0.743321,0.232748,0.668165,0.276723,0.298117,0.140674,232.2,97.540556,77.0,37.051316,-155.2,97.491333
brightness,5,5,0.602243,0.245228,0.718562,0.217821,0.626763,0.258009,0.28648,0.102262,232.2,97.540556,72.6,37.510532,-159.6,87.609589
fog,1,5,0.718403,0.252995,0.80399,0.219043,0.749425,0.265231,0.372426,0.136014,232.2,97.540556,141.0,132.477923,-91.2,112.234398
fog,3,5,0.69672,0.28021,0.77861,0.259276,0.727286,0.292443,0.343209,0.143649,232.2,97.540556,115.4,99.369211,-116.8,95.996667
fog,5,5,0.612779,0.301383,0.709932,0.268992,0.641896,0.317432,0.309691,0.124436,232.2,97.540556,109.8,104.68123,-122.4,96.661471
frost,1,5,0.606236,0.26782,0.716479,0.231521,0.627586,0.277997,0.373844,0.120633,232.2,97.540556,91.6,41.204854,-140.6,94.101222
frost,3,5,0.505071,0.217913,0.639889,0.217114,0.523894,0.232067,0.298827,0.117614,232.2,97.540556,68.8,32.682717,-163.4,94.569763
frost,5,5,0.355517,0.194217,0.49482,0.2099,0.369331,0.210667,0.234879,0.12096,232.2,97.540556,56.4,27.155847,-175.8,101.696411
rain,1,5,0.562,0.221912,0.694611,0.177311,0.594398,0.229969,0.304329,0.061389,232.2,97.540556,131.6,109.565688,-100.6,89.747646
rain,3,5,0.636303,0.228681,0.752102,0.184644,0.676241,0.219199,0.308434,0.057663,232.2,97.540556,138.0,92.988171,-94.2,86.573437
rain,5,5,0.635095,0.234623,0.750749,0.182843,0.677131,0.24708,0.292714,0.07986,232.2,97.540556,124.6,89.558026,-107.6,89.361289
snow,1,5,0.706034,0.262101,0.792043,0.232927,0.739543,0.27628,0.3553,0.120123,232.2,97.540556,138.4,116.362537,-93.8,106.336071
snow,3,5,0.599983,0.269053,0.710178,0.239929,0.633259,0.27764,0.268657,0.089837,232.2,97.540556,117.6,108.651001,-114.6,94.884351
snow,5,5,0.433171,0.178023,0.581597,0.184417,0.468285,0.168153,0.234159,0.081509,232.2,97.540556,97.8,92.851279,-134.4,78.601781
