image,condition,severity,mIoU
frankfurt_000000_011074_leftImg8bit,clean,none,0.32985719442154066
frankfurt_000001_032018_leftImg8bit,clean,none,0.3216059279067075
frankfurt_000001_064925_leftImg8bit,clean,none,0.3111368729249569
frankfurt_000001_065850_leftImg8bit,clean,none,0.30089013374839546
frankfurt_000001_080091_leftImg8bit,clean,none,0.36839897419786494
frankfurt_000000_011074_leftImg8bit,rain,level_1,0.2361773078343724
frankfurt_000001_032018_leftImg8bit,rain,level_1,0.15418102829462654
frankfurt_000001_064925_leftImg8bit,rain,level_1,0.32600686609761004
frankfurt_000001_065850_leftImg8bit,rain,level_1,0.18286276644812444
frankfurt_000001_080091_leftImg8bit,rain,level_1,0.13658601207444515
frankfurt_000000_011074_leftImg8bit,rain,level_3,0.1980477606928343
frankfurt_000001_032018_leftImg8bit,rain,level_3,0.19603340298245492
frankfurt_000001_064925_leftImg8bit,rain,level_3,0.2111705843538181
frankfurt_000001_065850_leftImg8bit,rain,level_3,0.18899629062044856
frankfurt_000001_080091_leftImg8bit,rain,level_3,0.2952130619939961
frankfurt_000000_011074_leftImg8bit,rain,level_5,0.19435568128479475
frankfurt_000001_032018_leftImg8bit,rain,level_5,0.2339760212712863
frankfurt_000001_064925_leftImg8bit,rain,level_5,0.2370182997563711
frankfurt_000001_065850_leftImg8bit,rain,level_5,0.14417145588512084
frankfurt_000001_080091_leftImg8bit,rain,level_5,0.13545506182253425
frankfurt_000000_011074_leftImg8bit,fog,level_1,0.23698664333226205
frankfurt_000001_032018_leftImg8bit,fog,level_1,0.245355275503985
frankfurt_000001_064925_leftImg8bit,fog,level_1,0.3126338493544182
frankfurt_000001_065850_leftImg8bit,fog,level_1,0.13172015077359236
frankfurt_000001_080091_leftImg8bit,fog,level_1,0.2994202693337354
frankfurt_000000_011074_leftImg8bit,fog,level_3,0.24628920795482445
frankfurt_000001_032018_leftImg8bit,fog,level_3,0.25299420059928485
frankfurt_000001_064925_leftImg8bit,fog,level_3,0.3015652808038555
frankfurt_000001_065850_leftImg8bit,fog,level_3,0.1337496197568526
frankfurt_000001_080091_leftImg8bit,fog,level_3,0.28334782075021103
frankfurt_000000_011074_leftImg8bit,fog,level_5,0.280546528776191
frankfurt_000001_032018_leftImg8bit,fog,level_5,0.17739209343965345
frankfurt_000001_064925_leftImg8bit,fog,level_5,0.29499684234772877
frankfurt_000001_065850_leftImg8bit,fog,level_5,0.07637097913278866
frankfurt_000001_080091_leftImg8bit,fog,level_5,0.24429681270045533
