condition,severity,mIoU
brightness,level_1,0.2453723964858867
brightness,level_3,0.24102919260906114
brightness,level_5,0.21236427955767456
clean,none,0.3263778206398931
fog,level_1,0.24522323765959858
fog,level_3,0.2435892259730057
fog,level_5,0.21472065127936343
frost,level_1,0.20886312455894163
frost,level_3,0.18896319451368587
frost,level_5,0.15750465232474514
rain,level_1,0.20716279614983574
rain,level_3,0.2178922201287104
rain,level_5,0.18899530400402145
snow,level_1,0.2398431747151697
snow,level_3,0.22662714701854422
snow,level_5,0.21742393611941163
